Position,Title,Worldwide,Domestic,Domestic_%,Foreing,Domestic_%.1,num_palabras
1,Barbie,"$1,441,737,643","$636,137,643",44.1%,"$805,600,000",55.9%,1
2,The Super Mario Bros. Movie,"$1,361,990,276","$574,934,330",42.2%,"$787,055,946",57.8%,5
3,Oppenheimer,"$949,014,495","$325,264,495",34.3%,"$623,750,000",65.7%,1
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%,6
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%,2
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319",55.2%,"$309,205,354",44.8%,4
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%,3
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%,7
9,Elemental,"$495,707,546","$154,426,697",31.2%,"$341,280,849",68.8%,1
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%,5
11,John Wick: Chapter 4,"$440,146,694","$187,131,806",42.5%,"$253,014,888",57.5%,4
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%,5
13,Meg 2: The Trench,"$395,000,317","$82,600,317",20.9%,"$312,400,000",79.1%,4
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%,7
15,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%,2
16,The Flash,"$270,633,313","$108,133,313",0.4,"$162,500,000",0.6,2
17,The Nun II,"$268,065,604","$86,265,604",32.2%,"$181,800,000",67.8%,3
18,Five Nights at Freddy's,"$255,901,110","$128,756,360",50.3%,"$127,144,750",49.7%,4
19,Sound of Freedom,"$244,690,364","$184,173,171",75.3%,"$60,517,193",24.7%,3
20,Taylor Swift: The Eras Tour,"$241,639,051","$172,721,036",71.5%,"$68,918,015",28.5%,5
