año|acontecimiento
1776|La firma de la Declaración de Independencia de Estados Unidos
476|La caída del Imperio Romano de Occidente
1789|La Revolución Francesa
1492|El descubrimiento de América por Cristóbal Colón
1912|El hundimiento del Titanic
1903|El primer vuelo de los hermanos Wright
753|La fundación de Roma
1914|El inicio de la Primera Guerra Mundial
1945|El final de la Segunda Guerra Mundial
1989|La caída del Muro de Berlín
1868|El inicio de la era Meiji
1440|La invención de la imprenta por Johannes Gutenberg
1919|La firma del Tratado de Versalles
1917|La Revolución Rusa
1453|La conquista de Constantinopla por los otomanos
563|El nacimiento de Buda Gautama
1993|La creación de la Unión Europea
1953|La primera ascensión al Everest
1300|El inicio del Renacimiento
1944|La invasión de Normandía durante la Segunda Guerra Mundial
1533|La caída del Imperio Inca
1947|La independencia de la India
1928|El descubrimiento de la penicilina por Alexander Fleming
1949|La creación de la República Popular China
700|El inicio de la construcción de la Gran Muralla China
1492|El descubrimiento del Nuevo Mundo por Cristóbal Colón
1494|La firma del Tratado de Tordesillas
